                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5236,                  2.101,                 1.6886,                0.55858,                0.48687,                0.52542,                0.25498,                0.71702,                0.93703,                0.81063,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5329,                  2.101,                 1.6976,                0.55598,                0.48414,                0.52512,                0.25507,                0.71677,                0.93723,                0.81057,               0.007624,               0.007624,               0.007624
                     51,                 1.5324,                 2.1157,                 1.6999,                0.55901,                0.48632,                0.52742,                0.25567,                0.71611,                0.93724,                0.81014,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.5123,                 2.0574,                 1.6753,                0.56001,                0.48523,                0.52827,                0.25594,                0.71543,                0.93695,                0.80942,               0.007525,               0.007525,               0.007525
                     53,                 1.5254,                 2.1033,                 1.6879,                 0.5627,                0.48742,                0.52958,                0.25691,                 0.7147,                0.93821,                 0.8089,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.5243,                 2.0831,                 1.6884,                0.55794,                0.48906,                0.52994,                0.25697,                0.71446,                0.93726,                 0.8087,               0.007426,               0.007426,               0.007426
                     55,                  1.509,                 2.0607,                 1.6745,                0.55847,                0.48742,                0.52994,                0.25713,                0.71418,                0.93663,                 0.8085,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.5243,                 2.0733,                 1.6869,                0.56124,                0.48742,                0.52945,                0.25828,                0.71368,                0.93604,                0.80785,               0.007327,               0.007327,               0.007327
                     57,                 1.5141,                 2.0697,                 1.6819,                0.56348,                0.48583,                0.53074,                0.25828,                 0.7133,                 0.9357,                0.80775,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.5183,                 2.0712,                 1.6885,                0.56377,                0.48304,                0.53099,                0.25868,                0.71304,                0.93474,                0.80769,               0.007228,               0.007228,               0.007228
                     59,                 1.5195,                 2.0626,                 1.6887,                0.56525,                 0.4814,                0.53141,                0.25924,                 0.7127,                0.93439,                0.80758,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.5038,                 2.0476,                 1.6714,                0.56289,                0.48185,                0.53197,                0.25974,                 0.7126,                0.93379,                0.80766,               0.007129,               0.007129,               0.007129
                     61,                 1.5191,                 2.0515,                 1.6856,                0.56272,                 0.4814,                0.53248,                0.25971,                0.71258,                0.93155,                0.80756,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.5163,                 2.0464,                 1.6791,                 0.5622,                0.48249,                0.53354,                0.26054,                 0.7125,                0.93033,                0.80736,                0.00703,                0.00703,                0.00703
                     63,                 1.5004,                 2.0406,                 1.6682,                0.55843,                0.48304,                0.53444,                0.26106,                0.71255,                 0.9292,                0.80737,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.5033,                 2.0143,                  1.665,                0.56224,                0.48742,                0.53645,                0.26162,                0.71218,                 0.9284,                0.80693,               0.006931,               0.006931,               0.006931
                     65,                 1.5045,                   2.05,                  1.677,                0.56467,                0.48891,                0.53783,                0.26184,                0.71222,                0.92649,                0.80687,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4947,                 2.0379,                  1.654,                0.57662,                0.48205,                0.53926,                0.26304,                0.71236,                0.92454,                0.80698,               0.006832,               0.006832,               0.006832
                     67,                  1.503,                 2.0105,                 1.6653,                0.58495,                0.47921,                0.53987,                0.26388,                0.71238,                0.92299,                0.80695,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.496,                 2.0218,                  1.665,                0.58353,                0.47976,                 0.5402,                0.26421,                0.71224,                0.92156,                0.80694,               0.006733,               0.006733,               0.006733
                     69,                 1.4955,                 2.0233,                 1.6562,                0.57725,                0.48628,                0.54124,                0.26448,                0.71203,                0.92043,                0.80663,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.5023,                 2.0226,                 1.6691,                0.58678,                0.48006,                0.54315,                0.26583,                0.71228,                0.91906,                0.80658,               0.006634,               0.006634,               0.006634
                     71,                 1.5084,                 2.0053,                 1.6648,                0.58795,                0.48468,                0.54403,                0.26638,                0.71269,                0.91772,                0.80669,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.5058,                 2.0092,                 1.6679,                0.58731,                0.48796,                0.54547,                0.26615,                0.71316,                0.91598,                0.80684,               0.006535,               0.006535,               0.006535
                     73,                 1.4824,                 1.9942,                 1.6512,                0.59455,                0.48578,                0.54663,                0.26701,                0.71309,                0.91439,                0.80663,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.5039,                 1.9885,                 1.6697,                0.58886,                0.48796,                  0.546,                0.26742,                0.71292,                0.91265,                0.80634,               0.006436,               0.006436,               0.006436
                     75,                 1.5022,                 1.9859,                 1.6586,                0.58627,                0.48991,                0.54691,                0.26774,                0.71307,                 0.9119,                0.80621,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.4976,                 1.9971,                 1.6615,                0.58101,                0.49344,                0.54816,                0.26828,                0.71283,                0.91029,                0.80587,               0.006337,               0.006337,               0.006337
                     77,                 1.4969,                 2.0018,                 1.6612,                0.57751,                0.49781,                0.54924,                0.26876,                0.71272,                0.90784,                0.80554,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.4842,                 1.9857,                 1.6603,                0.57901,                0.49891,                0.55085,                0.26912,                0.71258,                 0.9064,                0.80545,               0.006238,               0.006238,               0.006238
                     79,                 1.4775,                 1.9688,                 1.6415,                0.59195,                0.49672,                0.55278,                0.27061,                0.71261,                0.90433,                0.80529,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.4744,                 1.9641,                 1.6508,                0.59447,                0.49836,                  0.554,                0.27137,                0.71219,                0.90281,                0.80544,               0.006139,               0.006139,               0.006139
                     81,                 1.4718,                 1.9555,                 1.6384,                0.59573,                0.49672,                0.55506,                0.27163,                0.71221,                 0.9006,                0.80519,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.4866,                 1.9752,                 1.6549,                0.59494,                0.49672,                0.55558,                0.27252,                 0.7122,                0.89891,                0.80514,                0.00604,                0.00604,                0.00604
                     83,                 1.4705,                 1.9407,                  1.646,                0.59651,                0.49672,                 0.5566,                0.27348,                0.71217,                0.89598,                0.80491,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.4687,                 1.9618,                 1.6472,                 0.5981,                0.49562,                0.55682,                0.27406,                0.71184,                0.89426,                 0.8048,               0.005941,               0.005941,               0.005941
                     85,                 1.4758,                 1.9401,                 1.6444,                 0.5928,                    0.5,                0.55734,                0.27447,                0.71138,                0.89196,                0.80471,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.4721,                 1.9412,                   1.64,                0.59878,                0.50328,                 0.5593,                0.27541,                0.71104,                0.88848,                0.80445,               0.005842,               0.005842,               0.005842
                     87,                  1.472,                 1.9431,                  1.644,                0.60426,                0.50164,                0.56033,                0.27583,                  0.711,                0.88546,                0.80455,              0.0057925,              0.0057925,              0.0057925
